"","comment","comment","comment","comment","comment","comment","comment","comment","comment","comment"
"great",1,0,0,0,0,0,0,0,0,0
"many",1,0,0,0,0,0,0,0,0,0
"opening",1,0,0,0,0,0,0,0,0,0
"this",1,0,0,0,0,1,0,0,0,0
"yay",0,1,0,0,0,0,0,0,0,0
"arman",0,0,1,0,0,0,0,0,0,0
"get",0,0,1,0,0,0,0,0,0,0
"miri",0,0,1,0,0,0,0,0,0,0
"oxford",0,0,1,0,0,0,0,0,0,0
"biss",0,0,0,1,0,0,0,0,0,0
"michael",0,0,0,1,0,0,0,0,0,0
"all",0,0,0,0,1,0,0,0,0,0
"evolution",0,0,0,0,1,0,0,0,0,0
"httpssoundcloudcom34126evolution",0,0,0,0,1,0,0,0,0,0
"love",0,0,0,0,1,0,0,0,0,0
"song",0,0,0,0,1,0,0,0,0,0
"thx",0,0,0,0,1,0,0,0,0,0
"ull",0,0,0,0,1,0,0,0,0,0
"fire",0,0,0,0,0,1,0,1,0,0
"for",0,0,0,0,0,1,0,1,0,0
"httpsmfacebookcomstoryphpstoryfbid10212296376059093id1069521641",0,0,0,0,0,1,0,0,0,0
"racist",0,0,0,0,0,1,0,0,0,0
"that",0,0,0,0,0,1,0,2,0,0
"works",0,0,0,0,0,1,0,1,0,0
"you",0,0,0,0,0,1,0,1,0,0
"httpswwweveripediacomhollycovella",0,0,0,0,0,0,1,1,0,0
"covella",0,0,0,0,0,0,0,1,0,0
"did",0,0,0,0,0,0,0,1,0,0
"girl",0,0,0,0,0,0,0,1,0,0
"guys",0,0,0,0,0,0,0,1,0,0
"holly",0,0,0,0,0,0,0,1,0,0
"horrible",0,0,0,0,0,0,0,1,0,0
"look",0,0,0,0,0,0,0,1,0,0
"person",0,0,0,0,0,0,0,1,0,0
"she",0,0,0,0,0,0,0,1,0,0
"shes",0,0,0,0,0,0,0,1,0,0
"what",0,0,0,0,0,0,0,1,0,0
"and",0,0,0,0,0,0,0,0,1,0
"inventor",0,0,0,0,0,0,0,0,1,0
"scientistengineer",0,0,0,0,0,0,0,0,1,0
"httpswwwbloombergcomnewsarticles20170710teslasaustralianbatteryfixcomesatbigpricewoodmac",0,0,0,0,0,0,0,0,0,1
